"";"Sample_name";"Sample_ID_demultiplexing";"SITE_PAIR";"PLOT_ID";"SUBPLOT";"SITE_ID";"MANAGEMENT";"MESH_TYPE";"locality_id";"GDD0";"precip_Plot_ID_coll_3";"N %";"C/N";"E3pH";"percent_mass_loss";"ergosterol_new";"bioclim_10";"bioclim_7";"vac.myr"
"83";"BRA_NN_S_42";"S100";4;7;42;"BRA";"NN";"S";"BRA_NN_42";"3948.6256510416665";"847.151499649975";"1.52";"32.7";"4.47";"42.2505782083926";0,316136829;14,17911625;52,40879822;"0.1"
"84";"BRA_CC_L_43";"S101";4;8;43;"BRA";"CC";"L";"BRA_CC_43";"3920.403645833333";"863.745400625747";"1.51";"30.9";"5.06";"28.6144230420064";0,335133133;14,36273289;52,50270081;"1"
"85";"BRA_CC_S_43";"S102";4;8;43;"BRA";"CC";"S";"BRA_CC_43";"3920.403645833333";"863.745400625747";"1.51";"30.9";"5.06";"43.818272186387";0,282776;14,36273289;52,50270081;"1"
"86";"BRA_CC_L_44";"S103";4;8;44;"BRA";"CC";"L";"BRA_CC_44";"3831.9127604166665";"863.745400625747";"1.51";"30.9";"5.06";"42.2818089068137";0,134683306;14,36273289;52,50270081;"0.1"
"87";"BRA_CC_L_45";"S105";4;8;45;"BRA";"CC";"L";"BRA_CC_45";"3899.1412760416665";"863.745400625747";"1.51";"30.9";"5.06";"53.8080623062053";0,167639986;14,36273289;52,50270081;"1"
"88";"BRA_CC_S_45";"S106";4;8;45;"BRA";"CC";"S";"BRA_CC_45";"3899.1412760416665";"863.745400625747";"1.51";"30.9";"5.06";"54.8452793459393";0,145011981;14,36273289;52,50270081;"1"
"89";"BRA_CC_L_46";"S107";4;8;46;"BRA";"CC";"L";"BRA_CC_46";"3877.263020833333";"863.745400625747";"1.51";"30.9";"5.06";"39.5394193363762";0,219417019;14,36273289;52,50270081;"2"
"90";"BRA_CC_S_46";"S108";4;8;46;"BRA";"CC";"S";"BRA_CC_46";"3877.263020833333";"863.745400625747";"1.51";"30.9";"5.06";"50.1933652635319";0,187439475;14,36273289;52,50270081;"2"
"91";"BRA_CC_L_47";"S109";4;8;47;"BRA";"CC";"L";"BRA_CC_47";"3866.6158854166665";"863.745400625747";"1.51";"30.9";"5.06";"50.4689953756657";0,159277963;14,36273289;52,50270081;"1"
"92";"BRA_CC_S_47";"S110";4;8;47;"BRA";"CC";"S";"BRA_CC_47";"3866.6158854166665";"863.745400625747";"1.51";"30.9";"5.06";"62.0785648132391";0,163838517;14,36273289;52,50270081;"1"
"93";"BRA_CC_L_48";"S111";4;8;48;"BRA";"CC";"L";"BRA_CC_48";"3793.8072916666665";"863.745400625747";"1.51";"30.9";"5.06";"46.4619338877569";0,153934441;14,36273289;52,50270081;"0.1"
"94";"BRA_CC_S_48";"S112";4;8;48;"BRA";"CC";"S";"BRA_CC_48";"3793.8072916666665";"863.745400625747";"1.51";"30.9";"5.06";"46.4013826455118";0,203066247;14,36273289;52,50270081;"0.1"
"95";"SAR_NN_L_49";"S113";5;9;49;"SAR";"NN";"L";"SAR_NN_49";"3846.1139322916665";"1289.19720152323";"1.3";"39";"3.86";"62.2963143002027";0,294866261;13,83774948;50,90399933;"27"
"96";"SAR_NN_S_49";"S114";5;9;49;"SAR";"NN";"S";"SAR_NN_49";"3846.1139322916665";"1289.19720152323";"1.3";"39";"3.86";"64.5767451105084";0,525951278;13,83774948;50,90399933;"27"
"97";"SAR_NN_L_50";"S115";5;9;50;"SAR";"NN";"L";"SAR_NN_50";"3811.2154947916665";"1289.19720152323";"1.3";"39";"3.86";"53.5357747034394";0,287904149;13,83774948;50,90399933;"27"
